OTU_1, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Asaccharobacter
OTU_2, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Atopobium
OTU_3, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Collinsella
OTU_4, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Eggerthella
OTU_5, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Gordonibacter
OTU_6, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Olsenella
OTU_7, Bacteria, Actinobacteria, Actinobacteria, Coriobacteriales, Coriobacteriaceae, Slackia
OTU_8, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Bacteroidaceae, Bacteroides
OTU_9, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Barnesiella
OTU_10, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Butyricimonas
OTU_11, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Odoribacter
OTU_12, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Parabacteroides
OTU_13, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Porphyromonadaceae, Porphyromonas
OTU_14, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Paraprevotella
OTU_15, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella
OTU_16, Bacteria, Bacteroidetes, Bacteroidia, Bacteroidales, Rikenellaceae, Alistipes
OTU_17, Bacteria, Bacteroidetes, Flavobacteria, Flavobacteriales, Flavobacteriaceae, Capnocytophaga
OTU_18, Bacteria, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus
OTU_19, Bacteria, Firmicutes, Bacilli, Bacillales, Bacillales_incertae_sedis, Rummeliibacillus
OTU_20, Bacteria, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Gemella
OTU_21, Bacteria, Firmicutes, Bacilli, Lactobacillales, Aerococcaceae, Abiotrophia
OTU_22, Bacteria, Firmicutes, Bacilli, Lactobacillales, Carnobacteriaceae, Granulicatella
OTU_23, Bacteria, Firmicutes, Bacilli, Lactobacillales, Enterococcaceae, Enterococcus
OTU_24, Bacteria, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus
OTU_25, Bacteria, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Weissella
OTU_26, Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Lactococcus
OTU_27, Bacteria, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus
OTU_28, Bacteria, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium
OTU_29, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Anaerofustis
OTU_30, Bacteria, Firmicutes, Clostridia, Clostridiales, Eubacteriaceae, Eubacterium
OTU_31, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Anaerococcus
OTU_32, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Finegoldia
OTU_33, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Parvimonas
OTU_34, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XI, Peptoniphilus
OTU_35, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Anaerovorax
OTU_36, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIII, Mogibacterium
OTU_37, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIV, Blautia
OTU_38, Bacteria, Firmicutes, Clostridia, Clostridiales, Incertae_Sedis_XIV, Howardella
OTU_39, Bacteria, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Anaerostipes
